                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 0.5695,                0.34477,                0.96519,                0.99577,                0.99604,                0.99469,                0.80454,                0.75924,                0.30249,                 1.0442,             0.00097936,             0.00097936,             0.00097936
                    127,                0.58029,                0.33775,                0.96498,                0.99417,                0.99706,                0.99488,                0.82786,                0.71702,                0.28974,                  1.017,             0.00097386,             0.00097386,             0.00097386
                    128,                0.57035,                0.34213,                 0.9641,                 0.9925,                0.99726,                0.99479,                0.83231,                0.70023,                 0.2872,                 1.0005,             0.00096836,             0.00096836,             0.00096836
                    129,                0.56917,                0.33556,                0.95628,                0.99246,                0.99787,                0.99468,                0.83137,                0.71036,                0.27826,                 1.0035,             0.00096286,             0.00096286,             0.00096286
                    130,                0.55815,                0.32604,                0.95274,                0.99587,                0.99728,                0.99498,                0.83063,                0.73154,                0.28112,                 1.0208,             0.00095736,             0.00095736,             0.00095736
                    131,                0.57841,                0.33846,                0.97321,                0.99225,                0.99376,                0.99491,                0.82836,                0.72562,                0.28915,                 1.0226,             0.00095186,             0.00095186,             0.00095186
                    132,                0.59014,                0.35485,                0.97504,                0.99069,                0.99376,                0.99488,                 0.8205,                0.73302,                0.29714,                 1.0268,             0.00094636,             0.00094636,             0.00094636
                    133,                0.55702,                0.32923,                0.95953,                  0.996,                0.99511,                 0.9949,                0.82101,                0.72385,                0.28401,                 1.0237,             0.00094085,             0.00094085,             0.00094085
                    134,                0.55475,                0.33484,                0.96206,                 0.9956,                0.99638,                0.99495,                0.83628,                0.70753,                0.27802,                 1.0139,             0.00093535,             0.00093535,             0.00093535
                    135,                0.58573,                0.35101,                 0.9719,                0.99729,                0.99741,                0.99493,                 0.8441,                0.70231,                0.27804,                 1.0059,             0.00092985,             0.00092985,             0.00092985
                    136,                0.53995,                0.31362,                0.94768,                0.99702,                0.99696,                0.99496,                0.83262,                 0.7272,                 0.2843,                 1.0262,             0.00092435,             0.00092435,             0.00092435
                    137,                0.54089,                0.30845,                0.93554,                0.99821,                0.99876,                  0.995,                0.83037,                0.71367,                0.27357,                 1.0248,             0.00091885,             0.00091885,             0.00091885
                    138,                0.57102,                0.33561,                0.95417,                0.99789,                0.99776,                0.99483,                0.82702,                0.70901,                0.27033,                 1.0293,             0.00091335,             0.00091335,             0.00091335
                    139,                0.57074,                0.33291,                0.96518,                0.99683,                0.99656,                0.99492,                0.83763,                0.69802,                0.28168,                 1.0191,             0.00090785,             0.00090785,             0.00090785
                    140,                0.53902,                 0.3265,                0.95356,                 0.9969,                0.99732,                0.99499,                0.84879,                0.71985,                0.28384,                 1.0322,             0.00090235,             0.00090235,             0.00090235
                    141,                0.56667,                0.33545,                0.96631,                0.99776,                0.99909,                  0.995,                0.84531,                0.72487,                0.29018,                 1.0332,             0.00089685,             0.00089685,             0.00089685
                    142,                0.52789,                0.29962,                  0.941,                0.99939,                0.99819,                  0.995,                0.84432,                0.70735,                0.28078,                 1.0203,             0.00089134,             0.00089134,             0.00089134
                    143,                0.58084,                0.33694,                0.96902,                0.99797,                0.99728,                0.99499,                0.84629,                0.70812,                 0.2783,                 1.0096,             0.00088584,             0.00088584,             0.00088584
                    144,                0.56085,                 0.3193,                0.95203,                0.99799,                0.99639,                  0.995,                0.83959,                0.69298,                0.28012,                 1.0083,             0.00088034,             0.00088034,             0.00088034
                    145,                0.56136,                0.32232,                 0.9725,                 0.9982,                0.99819,                  0.995,                0.83742,                0.70913,                0.27533,                 1.0205,             0.00087484,             0.00087484,             0.00087484
                    146,                0.55212,                0.32114,                0.94698,                0.99981,                0.99724,                  0.995,                0.84243,                0.71091,                 0.2759,                 1.0126,             0.00086934,             0.00086934,             0.00086934
                    147,                0.55001,                 0.3232,                0.95731,                 0.9993,                0.99909,                  0.995,                0.84215,                0.72097,                0.27512,                 1.0214,             0.00086384,             0.00086384,             0.00086384
                    148,                0.55325,                 0.3207,                0.95223,                0.99769,                      1,                  0.995,                0.82086,                0.72155,                0.27592,                 1.0271,             0.00085834,             0.00085834,             0.00085834
                    149,                0.50812,                0.29797,                 0.9349,                0.99606,                0.99977,                0.99498,                0.82118,                0.72737,                0.28171,                  1.031,             0.00085284,             0.00085284,             0.00085284
                    150,                0.55432,                0.32741,                0.94706,                0.99608,                0.99909,                  0.995,                0.83026,                0.73732,                0.28886,                  1.034,             0.00084734,             0.00084734,             0.00084734
                    151,                0.54292,                0.31511,                0.95459,                0.99876,                0.99242,                0.99495,                0.83432,                0.71789,                0.27631,                 1.0294,             0.00084184,             0.00084184,             0.00084184
